state,year,quarter,stressor,pct_affected
Alabama,2015,Q1,Disease,0
Alabama,2015,Q1,Other Causes,9.1
Alabama,2015,Q1,Pesticides,2.2
Alabama,2015,Q1,Pests (Excl Varroa Mites),5.4
Alabama,2015,Q1,Unknown Causes,9.4
Alabama,2015,Q1,Varroa Mites,10
Alabama,2015,Q2,Disease,0
Alabama,2015,Q2,Other Causes,3.2
Alabama,2015,Q2,Pesticides,2.3
Alabama,2015,Q2,Pests (Excl Varroa Mites),42.5
Alabama,2015,Q2,Unknown Causes,4.1
Alabama,2015,Q2,Varroa Mites,16.7
Alabama,2015,Q3,Disease,0
Alabama,2015,Q3,Other Causes,2.2
Alabama,2015,Q3,Pesticides,2.6
Alabama,2015,Q3,Pests (Excl Varroa Mites),70.6
Alabama,2015,Q3,Unknown Causes,17.7
Alabama,2015,Q3,Varroa Mites,63.1
Alabama,2015,Q4,Disease,0.2
Alabama,2015,Q4,Other Causes,2.8
Alabama,2015,Q4,Pesticides,0.2
Alabama,2015,Q4,Pests (Excl Varroa Mites),6.4
Alabama,2015,Q4,Unknown Causes,1.9
Alabama,2015,Q4,Varroa Mites,3.1
Alabama,2016,Q1,Disease,4.3
Alabama,2016,Q1,Other Causes,2.4
Alabama,2016,Q1,Pesticides,8.1
Alabama,2016,Q1,Pests (Excl Varroa Mites),22
Alabama,2016,Q1,Unknown Causes,11.3
Alabama,2016,Q1,Varroa Mites,24.2
Alabama,2016,Q2,Disease,0.3
Alabama,2016,Q2,Other Causes,4.8
Alabama,2016,Q2,Pesticides,1.7
Alabama,2016,Q2,Pests (Excl Varroa Mites),8.2
Alabama,2016,Q2,Unknown Causes,5.4
Alabama,2016,Q2,Varroa Mites,9.6
Alabama,2016,Q3,Disease,0
Alabama,2016,Q3,Other Causes,3.2
Alabama,2016,Q3,Pesticides,3.8
Alabama,2016,Q3,Pests (Excl Varroa Mites),42
Alabama,2016,Q3,Unknown Causes,13.8
Alabama,2016,Q3,Varroa Mites,11.7
Alabama,2016,Q4,Disease,0.2
Alabama,2016,Q4,Other Causes,6.7
Alabama,2016,Q4,Pesticides,2.4
Alabama,2016,Q4,Pests (Excl Varroa Mites),9.9
Alabama,2016,Q4,Unknown Causes,3.3
Alabama,2016,Q4,Varroa Mites,12.3
Alabama,2017,Q1,Disease,0.2
Alabama,2017,Q1,Other Causes,6.7
Alabama,2017,Q1,Pesticides,3.2
Alabama,2017,Q1,Pests (Excl Varroa Mites),9.8
Alabama,2017,Q1,Unknown Causes,9.3
Alabama,2017,Q1,Varroa Mites,19.9
Alabama,2017,Q2,Disease,0
Alabama,2017,Q2,Other Causes,9.4
Alabama,2017,Q2,Pesticides,4.2
Alabama,2017,Q2,Pests (Excl Varroa Mites),13.6
Alabama,2017,Q2,Unknown Causes,5.3
Alabama,2017,Q2,Varroa Mites,17.9
Alabama,2017,Q3,Disease,0
Alabama,2017,Q3,Other Causes,7.5
Alabama,2017,Q3,Pesticides,35.4
Alabama,2017,Q3,Pests (Excl Varroa Mites),22.1
