state,year,production,yield_per_colony,colonies,price_per_lb
Alabama,2015,329000,47,7000,3.83
Alabama,2016,364000,52,7000,3.45
Alabama,2017,381085,45,7000,2.88
Alabama,2018,270000,45,6000,3.72
Alabama,2019,294000,42,7000,3.38
Alabama,2020,273000,39,7000,5.52
Alabama,2021,320000,40,8000,5.22
Alabama,2022,535501,40,10000,4.8
Alabama,2023,400000,40,10000,5.52
Alaska,2017,31070,,,
Alaska,2022,28491,,,
Arizona,2015,1274000,49,26000,2.03
Arizona,2016,1242000,46,27000,1.97
Arizona,2017,1191576,40,22000,1.99
Arizona,2018,912000,38,24000,3.01
Arizona,2019,1058000,46,23000,2.04
Arizona,2020,900000,36,25000,2.38
Arizona,2021,1040000,40,26000,2.58
Arizona,2022,1525002,45,23000,2.7
Arizona,2023,1428000,42,34000,2.28
Arkansas,2015,1728000,72,24000,2.06
Arkansas,2016,1656000,69,24000,1.85
Arkansas,2017,2108889,68,29000,1.97
Arkansas,2018,1400000,50,28000,1.88
Arkansas,2019,1100000,55,20000,1.65
Arkansas,2020,980000,49,20000,1.85
Arkansas,2021,850000,50,17000,2.12
Arkansas,2022,1029923,56,20000,2.7
Arkansas,2023,874000,46,19000,3.09
California,2015,8250000,30,275000,2.03
California,2016,11160000,36,310000,2.04
California,2017,15149061,41,335000,2.16
California,2018,13735000,41,335000,2.11
California,2019,16080000,48,335000,1.6
California,2020,13760000,43,320000,1.95
California,2021,9570000,33,290000,2.42
California,2022,28502379,38,305000,2.69
California,2023,13650000,42,325000,2.29
California,2024,13330000,43,310000,1.96
California,2025,11025000,35,315000,2.57
Colorado,2015,1479000,51,29000,2.26
Colorado,2016,1280000,40,32000,2.24
Colorado,2017,1439913,43,33000,2.09
Colorado,2018,1488000,48,31000,2.05
Colorado,2019,1472000,46,32000,2.34
Colorado,2020,1230000,41,30000,2.39
Colorado,2021,1160000,40,29000,3.01
Colorado,2022,1276922,42,31000,3.35
Colorado,2023,1025000,41,25000,3.18
Connecticut,2017,199631,,,
Connecticut,2022,240332,,,
Delaware,2017,4359,,,
Delaware,2022,14726,,,
